id,amountUSD,budgetYear,childFlowIds,contributionType,createdAt,date,decisionDate,description,grandBargainEarmarkingType,exchangeRate,firstReportedDate,flowType,keywords,newMoney,originalCurrency,method,parentFlowId,status,updatedAt,versionId,boundary,onBoundary,originalAmount,refCode,sourceObjects_Organization.id,sourceObjects_Organization.name,sourceObjects_Organization.behavior,sourceObjects_Organization.organizationTypes,sourceObjects_UsageYear.id,sourceObjects_UsageYear.name,sourceObjects_UsageYear.behavior,sourceObjects_UsageYear.organizationTypes,sourceObjects_Location.id,sourceObjects_Location.name,sourceObjects_Location.behavior,sourceObjects_Location.organizationTypes,sourceObjects_Location.organizationSubTypes,sourceObjects_Organization.organizationSubTypes,sourceObjects_UsageYear.organizationSubTypes,sourceObjects_GlobalCluster.id,sourceObjects_GlobalCluster.name,sourceObjects_GlobalCluster.behavior,sourceObjects_GlobalCluster.organizationTypes,destinationObjects_GlobalCluster.id,destinationObjects_GlobalCluster.name,destinationObjects_GlobalCluster.behavior,destinationObjects_GlobalCluster.organizationTypes,destinationObjects_GlobalCluster.code,destinationObjects_Location.id,destinationObjects_Location.name,destinationObjects_Location.behavior,destinationObjects_Location.organizationTypes,destinationObjects_Location.code,destinationObjects_Organization.id,destinationObjects_Organization.name,destinationObjects_Organization.behavior,destinationObjects_Organization.organizationTypes,destinationObjects_Organization.code,destinationObjects_Plan.id,destinationObjects_Plan.name,destinationObjects_Plan.behavior,destinationObjects_Plan.organizationTypes,destinationObjects_Plan.code,destinationObjects_Project.id,destinationObjects_Project.name,destinationObjects_Project.behavior,destinationObjects_Project.organizationTypes,destinationObjects_Project.code,destinationObjects_UsageYear.id,destinationObjects_UsageYear.name,destinationObjects_UsageYear.behavior,destinationObjects_UsageYear.organizationTypes,destinationObjects_UsageYear.code,destinationObjects_Emergency.id,destinationObjects_Emergency.name,destinationObjects_Emergency.behavior,destinationObjects_Emergency.organizationTypes,destinationObjects_GlobalCluster.organizationSubTypes,destinationObjects_Location.organizationSubTypes,destinationObjects_Organization.organizationSubTypes,destinationObjects_UsageYear.organizationSubTypes,destinationObjects_Emergency.code,destinationObjects_Emergency.organizationSubTypes,destinationObjects_Plan.organizationSubTypes,sourceObjects_GlobalCluster.organizationSubTypes,sourceObjects_Plan.id,sourceObjects_Plan.name,sourceObjects_Plan.behavior,sourceObjects_Plan.organizationTypes,sourceObjects_Plan.organizationSubTypes,destinationObjects_Project.organizationSubTypes,sourceObjects_Emergency.id,sourceObjects_Emergency.name,sourceObjects_Emergency.behavior,sourceObjects_Emergency.organizationTypes,sourceObjects_Emergency.code,sourceObjects_Organization.code,sourceObjects_Plan.code,sourceObjects_Project.id,sourceObjects_Project.name,sourceObjects_Project.behavior,sourceObjects_Project.organizationTypes,sourceObjects_Project.code,sourceObjects_UsageYear.code,sourceObjects_Location.code,destinationObjects_Cluster.id,destinationObjects_Cluster.name,destinationObjects_Cluster.behavior,destinationObjects_Cluster.organizationTypes,destinationObjects_Cluster.code,destinationObjects_Cluster.organizationSubTypes,sourceObjects_Emergency.organizationSubTypes,sourceObjects_Cluster.id,sourceObjects_Cluster.name,sourceObjects_Cluster.behavior,sourceObjects_Cluster.organizationTypes,sourceObjects_Cluster.code,sourceObjects_GlobalCluster.code,sourceObjects_Project.organizationSubTypes,sourceObjects_Cluster.organizationSubTypes,amountUSD_defl,amountUSD_defl_millions,COVID,deflator,destination_deliverychannel,destination_globalcluster,destination_ngotype,destination_org_country,destination_org_iso3,destination_orgtype,domestic_response,dummy,multiyear,new_to_country,new_to_plan,new_to_sector,newMoney_dest,source_globalcluster,source_org_country,source_org_iso3,source_orgtype,source_privatemoney,year
10338,3871,2001,,financial,2002-08-28T00:00:00Z,2001-10-23T00:00:00Z,2001-10-23T00:00:00Z,Medical treatment for children,"",,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,EUR,Traditional aid,,commitment,2002-08-28T00:00:00Z,1,incoming,single,58014,"",4546,"Austria, Government of",single,Government,22,2001,single,"",15,Austria,single,,,National government,"","","","","",7,Health,single,,,,"","",,,3775,Friedensdorf International,single,NGO,"",,"","",,,,"","",,"",22,2001,single,,,10,Southeastern Europe 2000 - 2002,single,,,,International,,,,,"",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6880.85225727683,0.00688085225727683,FALSE,0.56257566,NGOs and CSOs,Health,International NGO,"",,NGOs,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Unspecified,Austria,AUT,DAC governments,no,2001
10339,18254,2001,,financial,2002-08-28T00:00:00Z,2001-02-22T00:00:00Z,2001-02-22T00:00:00Z,Medical care in Austrian hospitals,"",,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,ATS,Traditional aid,,commitment,2002-08-28T00:00:00Z,1,incoming,single,273280,"",4546,"Austria, Government of",single,Government,22,2001,single,"",15,Austria,single,,,National government,"","","","","",7,Health,single,,,3,Albania,single,,,3775,Friedensdorf International,single,NGO,"",,"","",,,,"","",,"",22,2001,single,,,10,Southeastern Europe 2000 - 2002,single,,,,International,,,,,"",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32447.1911920256,0.0324471911920256,FALSE,0.56257566,NGOs and CSOs,Health,International NGO,Albania,ALB,NGOs,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Unspecified,Austria,AUT,DAC governments,no,2001
10340,13012,2001,,financial,2002-08-28T00:00:00Z,2001-05-16T00:00:00Z,2001-05-16T00:00:00Z,Reconstruction of a school in Sanga Mamba,"",,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,ATS,Traditional aid,,commitment,2002-08-28T00:00:00Z,1,incoming,single,2e+05,"",4546,"Austria, Government of",single,Government,22,2001,single,"",15,Austria,single,,,National government,"","","","","",3,Education,single,,,52,"Congo, The Democratic Republic of the",single,,,3202,Sr. Hildegard Litzlhammer,single,NGO,"",,"","",,,,"","",,"",22,2001,single,,,,"","",,,,National,,,,,"",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23129.3333949073,0.0231293333949073,FALSE,0.56257566,NGOs and CSOs,Education,National NGO,"Congo, The Democratic Republic of the",COD,Private individual/organisation,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Unspecified,Austria,AUT,DAC governments,no,2001
1036,36765,2001,,financial,2001-04-05T00:00:00Z,2001-02-21T00:00:00Z,2001-02-21T00:00:00Z,Revitalisation of primary health services and vaccination,"",,2001-02-13T00:00:00Z,Standard,Humanitarian aid,TRUE,"",Traditional aid,,paid,2002-03-13T00:00:00Z,1,incoming,single,,ECHO/COD/210/2001/01000,2966,European Commission,single,Inter-governmental,22,2001,single,"",,"","",,,"","","","","","",7,Health,single,,,52,"Congo, The Democratic Republic of the",single,,,2915,United Nations Children's Fund,single,UN agency,,40,Democratic Republic of the Congo 2001,single,,,185,Revitalisation of primary health services and vaccination,single,,DRC-01-1/N01,22,2001,single,,,,"","",,,,"",,,,,"",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62487.1539311762,0.0624871539311762,FALSE,0.58836093,UN Multi,Health,"","Congo, The Democratic Republic of the",COD,UN Multi,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Unspecified,European Commission,EUI,EC,no,2001
10380,13012,2000,,financial,2002-08-29T00:00:00Z,2001-05-21T00:00:00Z,2001-05-21T00:00:00Z,Relief items for refugees,"",,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,ATS,Traditional aid,,commitment,2002-08-29T00:00:00Z,1,incoming,single,2e+05,"",4546,"Austria, Government of",single,Government,22,2001,single,"",15,Austria,single,,,National government,"","","","","",26479,Multi-sector,single,,,52,"Congo, The Democratic Republic of the",single,,,8506,CARITAS / Catholic Relief Services,single,Other,"",,"","",,,,"","",,"",22,2001,single,,,,"","",,,,"",,,,,"",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23129.3333949073,0.0231293333949073,FALSE,0.56257566,NGOs and CSOs,Multi-sector,"","Congo, The Democratic Republic of the",COD,NGOs,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Unspecified,Austria,AUT,DAC governments,no,2001
10383,30088,2000,,financial,2002-08-29T00:00:00Z,2001-09-24T00:00:00Z,2001-09-24T00:00:00Z,Medical treatment in Austrian hospitals,"",,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,ATS,Traditional aid,,commitment,2002-08-29T00:00:00Z,1,incoming,single,455525,"",4546,"Austria, Government of",single,Government,22,2001,single,"",15,Austria,single,,,National government,"","","","","",7,Health,single,,,3,Albania,single,,,3775,Friedensdorf International,single,NGO,"",,"","",,,,"","",,"",22,2001,single,,,10,Southeastern Europe 2000 - 2002,single,,,,International,,,,,"",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53482.5840136774,0.0534825840136774,FALSE,0.56257566,NGOs and CSOs,Health,International NGO,Albania,ALB,NGOs,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Unspecified,Austria,AUT,DAC governments,no,2001
10384,30088,2001,,financial,2002-08-29T00:00:00Z,2001-09-24T00:00:00Z,2001-09-24T00:00:00Z,Medical treatment in Austrian hospitals,"",,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,ATS,Traditional aid,,commitment,2002-08-29T00:00:00Z,1,incoming,single,455525,"",4546,"Austria, Government of",single,Government,22,2001,single,"",15,Austria,single,,,National government,"","","","","",7,Health,single,,,183,Romania,single,,,3775,Friedensdorf International,single,NGO,"",,"","",,,,"","",,"",22,2001,single,,,,"","",,,,International,,,,,"",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53482.5840136774,0.0534825840136774,FALSE,0.56257566,NGOs and CSOs,Health,International NGO,Romania,ROU,NGOs,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Unspecified,Austria,AUT,DAC governments,no,2001
10385,1928,2001,,financial,2002-08-29T00:00:00Z,2001-09-24T00:00:00Z,2001-09-24T00:00:00Z,Recreation for children,"",,2002-08-28T00:00:00Z,Standard,Humanitarian aid|Belarus 2001,TRUE,ATS,Traditional aid,,commitment,2002-08-29T00:00:00Z,1,incoming,single,30000,"",4546,"Austria, Government of",single,Government,22,2001,single,"",15,Austria,single,,,National government,"","","","","",7,Health,single,,,21,Belarus,single,,,8506,CARITAS / Catholic Relief Services,single,Other,"",,"","",,,,"","",,"",22,2001,single,,,,"","",,,,"",,,,,"",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3427.09458848611,0.00342709458848611,FALSE,0.56257566,NGOs and CSOs,Health,"",Belarus,BLR,NGOs,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Unspecified,Austria,AUT,DAC governments,no,2001
10386,2332,2001,,financial,2002-08-29T00:00:00Z,2001-03-15T00:00:00Z,2001-03-15T00:00:00Z,Construction of a school,"",,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,ATS,Traditional aid,,commitment,2002-08-29T00:00:00Z,1,incoming,single,35000,"",4546,"Austria, Government of",single,Government,22,2001,single,"",15,Austria,single,,,National government,"","","","","",3,Education,single,,,49,Colombia,single,,,71,Sr. Elfride Jagers-berger,single,Private organization/foundation,"",,"","",,,,"","",,"",22,2001,single,,,,"","",,,,International organization/foundation/individual,,,,,"",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4145.22021802365,0.00414522021802365,FALSE,0.56257566,NGOs and CSOs,Education,"",Colombia,COL,Private individual/organisation,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Unspecified,Austria,AUT,DAC governments,no,2001
10387,19815,2001,,financial,2002-08-29T00:00:00Z,2001-11-26T00:00:00Z,2001-11-26T00:00:00Z,Construction of schools,"",,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,ATS,Traditional aid,,commitment,2002-08-29T00:00:00Z,1,incoming,single,3e+05,"",4546,"Austria, Government of",single,Government,22,2001,single,"",15,Austria,single,,,National government,"","","","","",3,Education,single,,,49,Colombia,single,,,2648,Hilfswerk Austria International,single,NGO,"",,"","",,,,"","",,"",22,2001,single,,,,"","",,,,International,,,,,"",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35221.9290823922,0.0352219290823922,FALSE,0.56257566,NGOs and CSOs,Education,International NGO,Colombia,COL,NGOs,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Unspecified,Austria,AUT,DAC governments,no,2001
