Donor,variable,total_bilat,total_imha,eu_imha,fts_nonoda_ha,fts_nonoda_imeu_ha,total_donor_ha,fts_ndd_ha,dac1_ndd_imeu_ha,iso3
Afghanistan,2005,,,,,0,0.606362496293208,0.606362496293208,0,AFG
Afghanistan,2009,,,,,0,0.146336879437228,0.146336879437228,0,AFG
Afghanistan,2010,,,,,0,1.27782621403782,1.27782621403782,0,AFG
Afghanistan,2011,,,,,0,0.00286564049010717,0.00286564049010717,0,AFG
Afghanistan,2012,,,,,0,0.00408473349841538,0.00408473349841538,0,AFG
Albania,2005,,,,,0,0.674496572264981,0.674496572264981,0,ALB
Albania,2008,,,,,0,0.00305237662552443,0.00305237662552443,0,ALB
Albania,2009,,,,,0,0.00393632575260679,0.00393632575260679,0,ALB
Albania,2010,,,,,0,0.00470724283195293,0.00470724283195293,0,ALB
Albania,2011,,,,,0,0.0558380516785273,0.0558380516785273,0,ALB
Algeria,2001,,,,,0,0,0,0,DZA
Algeria,2002,,,,,0,0,0,0,DZA
Algeria,2003,,,,,0,12.3501027476834,12.3501027476834,0,DZA
Algeria,2005,,,,,0,7.56817256669824,7.56817256669824,0,DZA
Algeria,2006,,,,,0,8.17715576488126,8.17715576488126,0,DZA
Algeria,2007,,,,,0,0.00907394959767184,0.00907394959767184,0,DZA
Algeria,2009,,,,,0,0.0709746366076229,0.0709746366076229,0,DZA
Algeria,2010,,,,,0,8.28839022479134,8.28839022479134,0,DZA
Algeria,2011,,,,,0,10.8668992441181,10.8668992441181,0,DZA
Algeria,2013,,,,,0,1.37686197999599,1.37686197999599,0,DZA
Algeria,2014,,,,,0,0.00701038830338604,0.00701038830338604,0,DZA
Algeria,2016,,,,,0,0.661546256735684,0.661546256735684,0,DZA
Algeria,2017,,,,,0,0.0194216832189303,0.0194216832189303,0,DZA
Algeria,2020,,,,,0,0,0,0,DZA
Algeria,2021,,,,,0,0.024982,0.024982,0,DZA
Andorra,2002,,,,,0,0.171723182857978,0.171723182857978,0,AND
Andorra,2003,,,,,0,0.199900041808419,0.199900041808419,0,AND
Andorra,2004,,,,,0,0.0898666423103991,0.0898666423103991,0,AND
Andorra,2005,,,,,0,0.244501357470531,0.244501357470531,0,AND
Andorra,2006,,,,,0,3.46186904731433,3.46186904731433,0,AND
Andorra,2007,,,,,0,0.144541458822566,0.144541458822566,0,AND
Andorra,2008,,,,,0,0.0774280026817581,0.0774280026817581,0,AND
Andorra,2009,,,,,0,0.205888594935292,0.205888594935292,0,AND
Andorra,2010,,,,,0,0.313844978225375,0.313844978225375,0,AND
Andorra,2011,,,,,0,0.145790041918517,0.145790041918517,0,AND
Andorra,2012,,,,,0,0.0684458443141879,0.0684458443141879,0,AND
