iso3,year,value
ABW,2000,1.79
ABW,2001,1.79
ABW,2002,1.79
ABW,2003,1.79
ABW,2004,1.79
ABW,2005,1.79
ABW,2006,1.79
ABW,2007,1.79
ABW,2008,1.79
ABW,2009,1.79
ABW,2010,1.79
ABW,2011,1.79
ABW,2012,1.79
ABW,2013,1.79
ABW,2014,1.79
ABW,2015,1.79
ABW,2016,1.79
ABW,2017,1.79
ABW,2018,1.79
ABW,2019,1.79
ABW,2020,1.79
ABW,2021,1.79
AFG,2000,67.6541
AFG,2001,54.4294
AFG,2002,44.921
AFG,2003,49.0213
AFG,2004,47.7908
AFG,2005,49.6306
AFG,2006,49.926
AFG,2007,49.7974
AFG,2008,50.9478
AFG,2009,49.2658
AFG,2010,45.7997
AFG,2011,47.7586
AFG,2012,51.6792
AFG,2013,56.5267
AFG,2014,57.3968
AFG,2015,63.9042
AFG,2016,67.5027
AFG,2017,68.5452
AFG,2018,73.5431
AFG,2019,78.1723
AFG,2020,76.9178
AFG,2021,
AGO,2000,10.0405
AGO,2001,22.0579
AGO,2002,43.5302
AGO,2003,74.6063
AGO,2004,83.5414
AGO,2005,87.1591
AGO,2006,80.3681
AGO,2007,76.7061
AGO,2008,75.0334
AGO,2009,79.3282
AGO,2010,91.9057
AGO,2011,93.9348
AGO,2012,95.468
AGO,2013,96.5183
AGO,2014,98.3024
AGO,2015,120.0607
AGO,2016,163.6564
AGO,2017,165.916
AGO,2018,252.8557
AGO,2019,364.8258
AGO,2020,578.2588
AGO,2021,631.441955506727
AIA,2000,2.7
AIA,2001,2.7
AIA,2002,2.7
AIA,2003,2.7
AIA,2004,2.7
AIA,2005,2.7
AIA,2006,2.7
AIA,2007,2.7
AIA,2008,2.7
AIA,2009,2.7
AIA,2010,2.7
AIA,2011,2.7
AIA,2012,2.7
AIA,2013,2.7
AIA,2014,2.7
AIA,2015,2.7
AIA,2016,2.7
AIA,2017,2.7
AIA,2018,2.7
AIA,2019,2.7
AIA,2020,2.7
AIA,2021,2.7
ALB,2000,143.709417
ALB,2001,143.484833
ALB,2002,140.154516
ALB,2003,121.86325
ALB,2004,102.780051
ALB,2005,99.870254
ALB,2006,98.103377
ALB,2007,90.427894
ALB,2008,83.894604
ALB,2009,94.97812
ALB,2010,103.936667
ALB,2011,100.895833
ALB,2012,108.184167
ALB,2013,105.669167
ALB,2014,105.48
ALB,2015,125.961667
ALB,2016,124.1425
ALB,2017,119.1
ALB,2018,107.989167
ALB,2019,109.850833
ALB,2020,108.65
ALB,2021,103.52
AND,2000,1.0854
AND,2001,1.1175
AND,2002,1.0626
AND,2003,0.886
AND,2004,0.8054
AND,2005,0.8041
AND,2006,0.7971
AND,2007,0.7306
AND,2008,0.6827
AND,2009,0.7198
AND,2010,0.7543
AND,2011,0.7184
AND,2012,0.7783
AND,2013,0.7529
AND,2014,0.7527
AND,2015,0.9013
AND,2016,0.9034
AND,2017,0.8852
AND,2018,0.8468
AND,2019,0.8933
AND,2020,
AND,2021,
ANT,2000,1.79
ANT,2001,1.79
ANT,2002,1.79
ANT,2003,1.79
ANT,2004,1.79
ANT,2005,1.79
