donor_country_iso3,year,channel,sourceObjects_Organization.id,destinationObjects_Location.name,id,budgetYear,childFlowIds,contributionType,createdAt,date,decisionDate,description,grandBargainEarmarkingType,exchangeRate,firstReportedDate,flowType,keywords,newMoney,originalCurrency,method,parentFlowId,status,updatedAt,versionId,boundary,onBoundary,originalAmount,refCode,sourceObjects_Organization.name,sourceObjects_Organization.behavior,sourceObjects_Organization.organizationTypes,sourceObjects_UsageYear.id,sourceObjects_UsageYear.name,sourceObjects_UsageYear.behavior,sourceObjects_UsageYear.organizationTypes,sourceObjects_Location.id,sourceObjects_Location.name,sourceObjects_Location.behavior,sourceObjects_Location.organizationTypes,sourceObjects_Location.organizationSubTypes,sourceObjects_Organization.organizationSubTypes,sourceObjects_UsageYear.organizationSubTypes,sourceObjects_GlobalCluster.id,sourceObjects_GlobalCluster.name,sourceObjects_GlobalCluster.behavior,sourceObjects_GlobalCluster.organizationTypes,destinationObjects_GlobalCluster.id,destinationObjects_GlobalCluster.name,destinationObjects_GlobalCluster.behavior,destinationObjects_GlobalCluster.organizationTypes,destinationObjects_GlobalCluster.code,destinationObjects_Location.id,destinationObjects_Location.behavior,destinationObjects_Location.organizationTypes,destinationObjects_Location.code,destinationObjects_Organization.id,destinationObjects_Organization.name,destinationObjects_Organization.behavior,destinationObjects_Organization.organizationTypes,destinationObjects_Organization.code,destinationObjects_Plan.id,destinationObjects_Plan.name,destinationObjects_Plan.behavior,destinationObjects_Plan.organizationTypes,destinationObjects_Plan.code,destinationObjects_Project.id,destinationObjects_Project.name,destinationObjects_Project.behavior,destinationObjects_Project.organizationTypes,destinationObjects_Project.code,destinationObjects_UsageYear.id,destinationObjects_UsageYear.name,destinationObjects_UsageYear.behavior,destinationObjects_UsageYear.organizationTypes,destinationObjects_UsageYear.code,destinationObjects_Emergency.id,destinationObjects_Emergency.name,destinationObjects_Emergency.behavior,destinationObjects_Emergency.organizationTypes,destinationObjects_GlobalCluster.organizationSubTypes,destinationObjects_Location.organizationSubTypes,destinationObjects_Organization.organizationSubTypes,destinationObjects_UsageYear.organizationSubTypes,destinationObjects_Emergency.code,destinationObjects_Emergency.organizationSubTypes,destinationObjects_Plan.organizationSubTypes,sourceObjects_GlobalCluster.organizationSubTypes,sourceObjects_Plan.id,sourceObjects_Plan.name,sourceObjects_Plan.behavior,sourceObjects_Plan.organizationTypes,sourceObjects_Plan.organizationSubTypes,destinationObjects_Project.organizationSubTypes,sourceObjects_Emergency.id,sourceObjects_Emergency.name,sourceObjects_Emergency.behavior,sourceObjects_Emergency.organizationTypes,sourceObjects_Emergency.code,sourceObjects_Organization.code,sourceObjects_Plan.code,sourceObjects_Project.id,sourceObjects_Project.name,sourceObjects_Project.behavior,sourceObjects_Project.organizationTypes,sourceObjects_Project.code,sourceObjects_UsageYear.code,sourceObjects_Location.code,destinationObjects_Cluster.id,destinationObjects_Cluster.name,destinationObjects_Cluster.behavior,destinationObjects_Cluster.organizationTypes,destinationObjects_Cluster.code,destinationObjects_Cluster.organizationSubTypes,sourceObjects_Emergency.organizationSubTypes,sourceObjects_Cluster.id,sourceObjects_Cluster.name,sourceObjects_Cluster.behavior,sourceObjects_Cluster.organizationTypes,sourceObjects_Cluster.code,sourceObjects_GlobalCluster.code,sourceObjects_Project.organizationSubTypes,sourceObjects_Cluster.organizationSubTypes,multiyear,amountUSD,iso3,recipient,donor_country,source_org_type,subchannel,gha_channel,dummy,deflator,amountUSD_defl
AUT,2001,NGO,4546,"",10338,2001,,financial,2002-08-28T00:00:00Z,2001-10-23T00:00:00Z,2001-10-23T00:00:00Z,Medical treatment for children,"",,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,EUR,Traditional aid,,commitment,2002-08-28T00:00:00Z,1,incoming,single,58014,"","Austria, Government of",single,Government,22,2001,single,"",15,Austria,single,,,National government,"","","","","",7,Health,single,,,,"",,,3775,Friedensdorf International,single,NGO,"",,"","",,,,"","",,"",22,2001,single,,,10,Southeastern Europe 2000 - 2002,single,,,,International,,,,,"",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,3871,,"",Austria,Government,International,NGOs and CSOs,FALSE,0.564211971220819,6860.89660881191
AUT,2001,NGO,4546,Albania,10339,2001,,financial,2002-08-28T00:00:00Z,2001-02-22T00:00:00Z,2001-02-22T00:00:00Z,Medical care in Austrian hospitals,"",,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,ATS,Traditional aid,,commitment,2002-08-28T00:00:00Z,1,incoming,single,273280,"","Austria, Government of",single,Government,22,2001,single,"",15,Austria,single,,,National government,"","","","","",7,Health,single,,,3,single,,,3775,Friedensdorf International,single,NGO,"",,"","",,,,"","",,"",22,2001,single,,,10,Southeastern Europe 2000 - 2002,single,,,,International,,,,,"",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,18254,ALB,Albania,Austria,Government,International,NGOs and CSOs,FALSE,0.564211971220819,32353.088787717
AUT,2001,NGO,4546,"Congo, The Democratic Republic of the",10340,2001,,financial,2002-08-28T00:00:00Z,2001-05-16T00:00:00Z,2001-05-16T00:00:00Z,Reconstruction of a school in Sanga Mamba,"",,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,ATS,Traditional aid,,commitment,2002-08-28T00:00:00Z,1,incoming,single,2e+05,"","Austria, Government of",single,Government,22,2001,single,"",15,Austria,single,,,National government,"","","","","",3,Education,single,,,52,single,,,3202,Sr. Hildegard Litzlhammer,single,NGO,"",,"","",,,,"","",,"",22,2001,single,,,,"","",,,,National,,,,,"",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,13012,COD,"Congo, The Democratic Republic of the",Austria,Government,National,NGOs and CSOs,FALSE,0.564211971220819,23062.2543719609
EUI,2001,UN agency,2966,"Congo, The Democratic Republic of the",1036,2001,,financial,2001-04-05T00:00:00Z,2001-02-21T00:00:00Z,2001-02-21T00:00:00Z,Revitalisation of primary health services and vaccination,"",,2001-02-13T00:00:00Z,Standard,Humanitarian aid,TRUE,"",Traditional aid,,paid,2002-03-13T00:00:00Z,1,incoming,single,,ECHO/COD/210/2001/01000,European Commission,single,Inter-governmental,22,2001,single,"",,"","",,,"","","","","","",7,Health,single,,,52,single,,,2915,United Nations Children's Fund,single,UN agency,,40,Democratic Republic of the Congo 2001,single,,,185,Revitalisation of primary health services and vaccination,single,,DRC-01-1/N01,22,2001,single,,,,"","",,,,"",,,,,"",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,36765,COD,"Congo, The Democratic Republic of the",European Commission,Inter-governmental,Uncategorized,UN Multi,FALSE,0.682860803106723,53839.6695676997
AUT,2001,Other,4546,"Congo, The Democratic Republic of the",10380,2000,,financial,2002-08-29T00:00:00Z,2001-05-21T00:00:00Z,2001-05-21T00:00:00Z,Relief items for refugees,"",,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,ATS,Traditional aid,,commitment,2002-08-29T00:00:00Z,1,incoming,single,2e+05,"","Austria, Government of",single,Government,22,2001,single,"",15,Austria,single,,,National government,"","","","","",26479,Multi-sector,single,,,52,single,,,8506,CARITAS / Catholic Relief Services,single,Other,"",,"","",,,,"","",,"",22,2001,single,,,,"","",,,,"",,,,,"",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,13012,COD,"Congo, The Democratic Republic of the",Austria,Government,Uncategorized,Other,FALSE,0.564211971220819,23062.2543719609
AUT,2001,NGO,4546,Albania,10383,2000,,financial,2002-08-29T00:00:00Z,2001-09-24T00:00:00Z,2001-09-24T00:00:00Z,Medical treatment in Austrian hospitals,"",,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,ATS,Traditional aid,,commitment,2002-08-29T00:00:00Z,1,incoming,single,455525,"","Austria, Government of",single,Government,22,2001,single,"",15,Austria,single,,,National government,"","","","","",7,Health,single,,,3,single,,,3775,Friedensdorf International,single,NGO,"",,"","",,,,"","",,"",22,2001,single,,,10,Southeastern Europe 2000 - 2002,single,,,,International,,,,,"",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,30088,ALB,Albania,Austria,Government,International,NGOs and CSOs,FALSE,0.564211971220819,53327.4753722379
AUT,2001,NGO,4546,Romania,10384,2001,,financial,2002-08-29T00:00:00Z,2001-09-24T00:00:00Z,2001-09-24T00:00:00Z,Medical treatment in Austrian hospitals,"",,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,ATS,Traditional aid,,commitment,2002-08-29T00:00:00Z,1,incoming,single,455525,"","Austria, Government of",single,Government,22,2001,single,"",15,Austria,single,,,National government,"","","","","",7,Health,single,,,183,single,,,3775,Friedensdorf International,single,NGO,"",,"","",,,,"","",,"",22,2001,single,,,,"","",,,,International,,,,,"",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,30088,ROU,Romania,Austria,Government,International,NGOs and CSOs,FALSE,0.564211971220819,53327.4753722379
AUT,2001,Other,4546,Belarus,10385,2001,,financial,2002-08-29T00:00:00Z,2001-09-24T00:00:00Z,2001-09-24T00:00:00Z,Recreation for children,"",,2002-08-28T00:00:00Z,Standard,Humanitarian aid|Belarus 2001,TRUE,ATS,Traditional aid,,commitment,2002-08-29T00:00:00Z,1,incoming,single,30000,"","Austria, Government of",single,Government,22,2001,single,"",15,Austria,single,,,National government,"","","","","",7,Health,single,,,21,single,,,8506,CARITAS / Catholic Relief Services,single,Other,"",,"","",,,,"","",,"",22,2001,single,,,,"","",,,,"",,,,,"",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1928,BLR,Belarus,Austria,Government,Uncategorized,Other,FALSE,0.564211971220819,3417.15542800035
AUT,2001,Private organization/foundation,4546,Colombia,10386,2001,,financial,2002-08-29T00:00:00Z,2001-03-15T00:00:00Z,2001-03-15T00:00:00Z,Construction of a school,"",,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,ATS,Traditional aid,,commitment,2002-08-29T00:00:00Z,1,incoming,single,35000,"","Austria, Government of",single,Government,22,2001,single,"",15,Austria,single,,,National government,"","","","","",3,Education,single,,,49,single,,,71,Sr. Elfride Jagers-berger,single,Private organization/foundation,"",,"","",,,,"","",,"",22,2001,single,,,,"","",,,,International organization/foundation/individual,,,,,"",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,2332,COL,Colombia,Austria,Government,International organization/foundation/individual,Other,FALSE,0.564211971220819,4133.19837038217
AUT,2001,NGO,4546,Colombia,10387,2001,,financial,2002-08-29T00:00:00Z,2001-11-26T00:00:00Z,2001-11-26T00:00:00Z,Construction of schools,"",,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,ATS,Traditional aid,,commitment,2002-08-29T00:00:00Z,1,incoming,single,3e+05,"","Austria, Government of",single,Government,22,2001,single,"",15,Austria,single,,,National government,"","","","","",3,Education,single,,,49,single,,,2648,Hilfswerk Austria International,single,NGO,"",,"","",,,,"","",,"",22,2001,single,,,,"","",,,,International,,,,,"",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,19815,COL,Colombia,Austria,Government,International,NGOs and CSOs,FALSE,0.564211971220819,35119.7794636032
AUT,2001,NGO,4546,Ethiopia,10388,2001,,financial,2002-08-29T00:00:00Z,2001-12-10T00:00:00Z,2001-12-10T00:00:00Z,Derra integrated rural development project,"",,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,ATS,Traditional aid,,commitment,2002-08-29T00:00:00Z,1,incoming,single,3e+05,"","Austria, Government of",single,Government,22,2001,single,"",15,Austria,single,,,National government,"","","","","",26479,Multi-sector,single,,,71,single,,,3212,Menschen für,single,NGO,"",,"","",,,,"","",,"",22,2001,single,,,,"","",,,,Uncategorized NGO,,,,,"",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,19417,ETH,Ethiopia,Austria,Government,Uncategorized,NGOs and CSOs,FALSE,0.564211971220819,34414.3708223459
AUT,2001,NGO,4546,Kenya,10389,2001,,financial,2002-08-29T00:00:00Z,2001-09-13T00:00:00Z,2001-09-13T00:00:00Z,Medical treatment for a hospital,"",,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,ATS,Traditional aid,,commitment,2002-08-29T00:00:00Z,1,incoming,single,1e+05,"","Austria, Government of",single,Government,22,2001,single,"",15,Austria,single,,,National government,"","","","","",7,Health,single,,,116,single,,,3210,Christoffel-Blindenmission,single,NGO,"",,"","",,,,"","",,"",22,2001,single,,,13,Kenya Drought 2001,single,,,,International,,,,,"",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,6671,KEN,Kenya,Austria,Government,International,NGOs and CSOs,FALSE,0.564211971220819,11823.5704669037
AUT,2001,NGO,4546,Bosnia and Herzegovina,10390,2001,,financial,2002-08-29T00:00:00Z,2001-11-13T00:00:00Z,2001-11-13T00:00:00Z,Assistance to refugees,"",,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,ATS,Traditional aid,,commitment,2002-08-29T00:00:00Z,1,incoming,single,35000,"","Austria, Government of",single,Government,22,2001,single,"",15,Austria,single,,,National government,"","","","","",26479,Multi-sector,single,,,28,single,,,3213,öö Volkshilfe,single,NGO,"",,"","",,,,"","",,"",22,2001,single,,,10,Southeastern Europe 2000 - 2002,single,,,,Uncategorized NGO,,,,,"",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,2312,BIH,Bosnia and Herzegovina,Austria,Government,Uncategorized,NGOs and CSOs,FALSE,0.564211971220819,4097.75069996723
AUT,2001,Private organization/foundation,4546,Brazil,10392,2001,,financial,2002-08-29T00:00:00Z,2001-07-12T00:00:00Z,2001-07-12T00:00:00Z,Assistance of a school,"",,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,ATS,Traditional aid,,commitment,2002-08-29T00:00:00Z,1,incoming,single,3e+05,"","Austria, Government of",single,Government,22,2001,single,"",15,Austria,single,,,National government,"","","","","",3,Education,single,,,32,single,,,3214,Ft. Hubert Leeb,single,Private organization/foundation,"",,"","",,,,"","",,"",22,2001,single,,,,"","",,,,Uncategorized,,,,,"",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,19417,BRA,Brazil,Austria,Government,Uncategorized,Other,FALSE,0.564211971220819,34414.3708223459
AUT,2001,Private organization/foundation,4546,Brazil,10393,2001,,financial,2002-08-29T00:00:00Z,2001-09-13T00:00:00Z,2001-09-13T00:00:00Z,Assistance of homeless persons,"",,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,ATS,Traditional aid,,commitment,2002-08-29T00:00:00Z,1,incoming,single,75000,"","Austria, Government of",single,Government,22,2001,single,"",15,Austria,single,,,National government,"","","","","",4,Emergency Shelter and NFI,single,,,32,single,,,4543,Private (individuals & organizations),single,Private organization/foundation,"",,"","",,,,"","",,"",22,2001,single,,,,"","",,,,International organization/foundation/individual,,,,,"",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4954,BRA,Brazil,Austria,Government,International organization/foundation/individual,Other,FALSE,0.564211971220819,8780.38796178099
